campaignID;date;lettersSent;CostUnit
1428;02/06/2007;36 013;0,51 €
1465;12/06/2007;32 766;0,41 €
1489;27/06/2007;32 381;0,30 €
1490;07/07/2007;31 132;0,20 €
1513;27/07/2007;36 935;0,11 €
1529;09/08/2007;38 283;0,31 €
1544;26/08/2007;35 109;0,09 €
1556;07/09/2007;35 868;0,60 €
1568;19/09/2007;34 473;0,21 €
1577;09/10/2007;34 636;0,31 €
1601;28/10/2007;23 092;0,61 €
1615;07/11/2007;39 105;0,07 €
1626;24/11/2007;38 015;0,21 €
1634;08/12/2007;34 080;0,21 €
1636;27/12/2007;35 839;0,19 €
1663;06/01/2008;34 984;0,30 €
1664;23/01/2008;35 136;0,20 €
1678;11/02/2008;6 137;0,56 €
1698;21/02/2008;30 554;0,18 €
1699;07/03/2008;34 837;0,30 €
1736;17/03/2008;32 144;0,21 €
1739;05/04/2008;37 408;0,30 €
1755;24/04/2008;35 908;0,21 €
1775;10/05/2008;36 419;0,30 €
1778;25/05/2008;30 558;0,41 €
1790;04/06/2008;35 199;0,50 €
1808;22/06/2008;39 664;0,61 €
1843;07/07/2008;38 921;0,61 €
1844;27/07/2008;34 019;0,14 €
1851;07/08/2008;39 826;0,11 €
1861;27/08/2008;31 041;0,12 €
1875;15/09/2008;39 586;0,51 €
1878;25/09/2008;39 575;0,60 €
1903;07/10/2008;33 468;0,21 €
1904;18/10/2008;31 811;0,17 €
1917;29/10/2008;33 576;0,40 €
1929;10/11/2008;36 639;0,31 €
1933;26/11/2008;34 890;0,20 €
1949;09/12/2008;32 879;0,31 €
1962;24/12/2008;38 798;0,20 €
1966;10/01/2009;38 255;0,60 €
1991;25/01/2009;36 824;0,61 €
1992;08/02/2009;36 418;0,21 €
2021;23/02/2009;33 228;0,31 €
2029;06/03/2009;39 711;0,10 €
2035;21/03/2009;39 115;0,41 €
2040;03/04/2009;38 581;0,15 €
2059;13/04/2009;36 326;0,41 €
2090;28/04/2009;38 942;0,21 €
2094;18/05/2009;32 506;0,41 €
2105;28/05/2009;39 893;0,21 €
2123;12/06/2009;37 259;0,60 €
2129;24/06/2009;29 516;0,41 €
2133;10/07/2009;37 630;0,60 €
2144;23/07/2009;39 524;0,60 €
2163;08/08/2009;34 123;0,60 €
2193;24/08/2009;33 159;0,61 €
2194;13/09/2009;31 452;0,17 €
2224;24/09/2009;35 702;0,09 €
2225;13/10/2009;36 911;0,31 €
2231;26/10/2009;27 789;0,40 €
2232;05/11/2009;32 910;0,05 €
2233;17/11/2009;39 015;0,41 €
2256;05/12/2009;30 457;0,61 €
2263;22/12/2009;35 685;0,41 €
2285;03/01/2010;38 097;0,30 €
2296;17/01/2010;22 879;0,20 €
2319;03/02/2010;19 495;0,40 €
2335;19/02/2010;26 183;0,41 €
2351;08/03/2010;35 940;0,60 €
2360;25/03/2010;35 044;0,40 €
2389;05/04/2010;32 128;0,30 €
2390;20/04/2010;34 634;0,02 €
2414;05/05/2010;28 855;0,41 €
2415;24/05/2010;15 502;0,50 €
2416;07/06/2010;5 578;0,07 €
2417;26/06/2010;32 773;0,30 €
2451;09/07/2010;36 093;0,30 €
2470;21/07/2010;31 510;0,40 €
2485;04/08/2010;31 999;0,20 €
2498;22/08/2010;37 646;0,31 €
2534;11/09/2010;35 652;0,41 €
2550;28/09/2010;36 988;0,21 €
2553;18/10/2010;42 191;0,20 €
2566;28/10/2010;38 026;0,41 €
2577;08/11/2010;9 906;0,29 €
2579;20/11/2010;28 346;0,11 €
2580;09/12/2010;8 285;0,26 €
2632;25/12/2010;38 798;0,30 €
2633;07/01/2011;28 159;0,20 €
2646;20/01/2011;34 106;0,60 €
2653;02/02/2011;25 277;0,21 €
2654;13/02/2011;39 457;0,23 €
2677;02/03/2011;6 604;0,39 €
2695;16/03/2011;36 525;0,41 €
2710;05/04/2011;34 330;0,61 €
2711;16/04/2011;39 620;0,41 €
2712;26/04/2011;36 767;0,20 €
2713;12/05/2011;22 858;0,41 €
2714;28/05/2011;45 588;0,51 €
2802;15/06/2011;47 875;0,31 €
2838;03/07/2011;44 088;0,60 €
2871;17/07/2011;35 682;0,60 €
2872;29/07/2011;26 727;0,03 €
2905;13/08/2011;38 644;0,60 €
2908;30/08/2011;27 897;0,20 €
2916;17/09/2011;30 513;0,50 €
2945;03/10/2011;38 422;0,31 €
2963;14/10/2011;33 877;0,20 €
2964;26/10/2011;26 738;0,40 €
2994;05/11/2011;23 838;0,30 €
3016;24/11/2011;21 125;0,21 €
3033;09/12/2011;18 667;0,21 €
3049;19/12/2011;21 282;0,20 €
3064;30/12/2011;20 249;0,61 €
3079;18/01/2012;24 759;0,21 €
3083;07/02/2012;32 457;0,20 €
3108;27/02/2012;36 564;0,60 €
3125;08/03/2012;31 665;0,30 €
3129;23/03/2012;28 248;0,40 €
3183;02/04/2012;24 062;0,21 €
3184;14/04/2012;30 755;0,41 €
3186;01/05/2012;47 681;0,50 €
3187;16/05/2012;39 044;0,30 €
3188;04/06/2012;29 504;0,60 €
3189;16/06/2012;38 672;0,61 €
3236;05/07/2012;35 793;0,31 €
3249;23/07/2012;24 461;0,21 €
3254;11/08/2012;23 102;0,31 €
3277;24/08/2012;29 995;0,20 €
3300;05/09/2012;29 865;0,31 €
3318;20/09/2012;22 795;0,14 €
3330;01/10/2012;39 193;0,21 €
3346;21/10/2012;21 555;0,40 €
3348;06/11/2012;16 999;0,50 €
3356;26/11/2012;5 936;0,57 €
3357;15/12/2012;8 114;0,23 €
3360;26/12/2012;39 644;0,19 €
3361;12/01/2013;22 251;0,38 €
3440;27/01/2013;37 986;0,51 €
3441;14/02/2013;34 548;0,61 €
3443;05/03/2013;36 724;0,51 €
3444;16/03/2013;32 951;0,20 €
3445;28/03/2013;21 696;0,51 €
3448;11/04/2013;39 295;0,61 €
3449;27/04/2013;34 821;0,60 €
3505;08/05/2013;32 523;0,21 €
3506;26/05/2013;24 470;0,48 €
3527;14/06/2013;33 987;0,41 €
3528;24/06/2013;32 987;0,13 €
3537;05/07/2013;8 816;0,14 €
3542;19/07/2013;5 236;0,02 €
3545;06/08/2013;32 393;0,41 €
3546;16/08/2013;9 794;0,11 €
3550;03/09/2013;31 605;0,08 €
3565;15/09/2013;30 836;0,30 €
3566;29/09/2013;9 566;0,25 €
3603;14/10/2013;39 368;0,40 €
3614;26/10/2013;7 366;0,13 €
3642;08/11/2013;16 506;0,50 €
3663;20/11/2013;35 141;0,30 €
3664;07/12/2013;6 857;0,05 €
3669;27/12/2013;22 790;0,30 €
3670;06/01/2014;8 885;0,02 €
3675;23/01/2014;15 908;0,20 €
3780;06/02/2014;30 161;0,51 €
3781;17/02/2014;20 587;0,41 €
3782;04/03/2014;37 207;0,20 €
3783;24/03/2014;38 859;0,18 €
3784;08/04/2014;20 348;0,51 €
3785;21/04/2014;37 042;0,11 €
3786;05/05/2014;26 061;0,21 €
3787;25/05/2014;27 517;0,41 €
3788;05/06/2014;36 405;0,20 €
3808;24/06/2014;7 182;0,20 €
3809;10/07/2014;5 393;0,20 €
3810;21/07/2014;5 657;0,31 €
3811;04/08/2014;7 111;0,23 €
3812;14/08/2014;7 896;0,14 €
3814;03/09/2014;9 017;0,13 €
3815;16/09/2014;9 148;0,16 €
3816;04/10/2014;5 799;0,31 €
3895;16/10/2014;33 466;0,31 €
3896;30/10/2014;6 195;0,16 €
3916;10/11/2014;38 106;0,31 €
3918;21/11/2014;7 920;0,03 €
3930;07/12/2014;36 766;0,00 €
3941;25/12/2014;37 833;0,50 €
4133;11/01/2015;34 369;0,61 €
4134;25/01/2015;34 231;0,31 €
4135;07/02/2015;34 513;0,20 €
4136;18/02/2015;38 289;0,05 €
4137;04/03/2015;69 879;0,60 €
4138;15/03/2015;33 035;0,41 €
4139;01/04/2015;5 704;0,15 €
4140;13/04/2015;36 011;0,50 €
4141;24/04/2015;18 803;0,32 €
4142;08/05/2015;18 664;0,20 €
4143;19/05/2015;23 423;0,11 €
4144;06/06/2015;34 762;0,21 €
4145;23/06/2015;21 034;0,31 €
4146;09/07/2015;22 359;0,52 €
4147;29/07/2015;18 980;0,25 €
4148;13/08/2015;26 513;0,20 €
4149;26/08/2015;20 060;0,50 €
4150;15/09/2015;24 137;0,34 €
4151;01/10/2015;32 624;0,30 €
4210;18/10/2015;24 753;0,20 €
4211;01/11/2015;9 938;0,02 €
4212;11/11/2015;7 757;0,10 €
4213;25/11/2015;25 468;0,15 €
4214;10/12/2015;9 183;0,13 €
4215;27/12/2015;23 796;0,08 €
4216;10/01/2016;8 627;0,11 €
4217;20/01/2016;6 361;0,18 €
4218;06/02/2016;9 899;0,15 €
4219;26/02/2016;7 687;0,15 €
4220;10/03/2016;5 600;0,09 €
4221;27/03/2016;6 809;0,12 €
4222;08/04/2016;6 865;0,09 €
4223;24/04/2016;34 414;0,14 €
4263;05/05/2016;7 858;0,14 €
4272;24/05/2016;37 639;0,41 €
4273;05/06/2016;5 172;0,08 €
4301;17/06/2016;6 898;0,12 €
4306;28/06/2016;7 117;0,13 €
4320;18/07/2016;9 085;0,14 €
4383;28/07/2016;57 127;0,26 €
4384;07/08/2016;6 024;0,35 €
4409;21/08/2016;30 636;0,41 €
4410;09/09/2016;8 654;0,20 €
4431;19/09/2016;9 169;0,12 €
4460;05/10/2016;24 515;0,51 €
4500;23/10/2016;27 057;0,25 €
4502;07/11/2016;6 260;0,46 €
4506;21/11/2016;33 275;0,05 €
4672;03/12/2016;7 668;0,09 €
4674;15/12/2016;18 085;0,41 €
4676;28/12/2016;33 498;0,13 €
4677;14/01/2017;26 917;0,25 €
4678;03/02/2017;34 382;0,12 €
4679;22/02/2017;25 588;0,27 €
4680;07/03/2017;21 033;0,10 €
4681;20/03/2017;25 570;0,31 €
4682;30/03/2017;33 319;0,19 €
4683;12/04/2017;7 459;0,20 €
4684;27/04/2017;20 963;0,30 €
4685;14/05/2017;21 447;0,41 €
4686;03/06/2017;7 841;0,05 €
4687;23/06/2017;31 342;0,58 €
4801;13/07/2017;49 023;0,21 €
4828;26/07/2017;5 419;0,07 €
4830;09/08/2017;28 955;0,19 €
4966;26/08/2017;7 550;0,09 €
4990;11/09/2017;35 284;0,07 €
4991;23/09/2017;8 862;0,24 €
5002;09/10/2017;9 261;0,39 €
5016;27/10/2017;8 760;0,05 €
5062;13/11/2017;7 421;0,10 €
5080;30/11/2017;16 349;0,14 €
5102;20/12/2017;6 514;0,19 €
5103;05/01/2018;5 572;0,10 €
5104;23/01/2018;8 427;0,07 €
5175;08/02/2018;5 243;0,11 €
5186;23/02/2018;9 615;0,10 €
5213;11/03/2018;9 725;0,10 €
5232;31/03/2018;5 467;0,16 €
5267;13/04/2018;29 227;0,10 €
5270;23/04/2018;7 909;0,15 €
5296;03/05/2018;37 942;0,20 €
5316;23/05/2018;32 089;0,31 €
5326;08/06/2018;39 445;0,30 €
5359;25/06/2018;28 493;0,21 €
5397;05/07/2018;6 457;0,09 €
5434;19/07/2018;26 255;0,20 €
5449;05/08/2018;30 991;0,10 €
6168;25/08/2018;26 787;0,30 €
6169;04/09/2018;34 888;0,87 €
6170;16/09/2018;9 669;0,37 €
6174;29/09/2018;38 156;0,22 €
6922;19/10/2018;32 816;0,22 €
6924;29/10/2018;6 067;0,19 €
6958;15/11/2018;24 923;0,14 €
6959;04/12/2018;26 225;0,15 €
7002;15/12/2018;6 490;0,18 €
7005;01/01/2019;38 361;0,14 €
7037;19/01/2019;30 082;0,21 €
7059;06/02/2019;26 503;0,13 €
7064;19/02/2019;7 387;0,20 €
7074;05/03/2019;20 305;0,04 €
7090;20/03/2019;26 189;0,12 €
7108;01/04/2019;25 914;0,46 €
7199;15/04/2019;28 080;0,18 €
7212;26/04/2019;28 592;0,06 €
7229;13/05/2019;38 914;0,06 €
7243;02/06/2019;27 495;0,19 €
7244;18/06/2019;25 645;0,55 €
7276;07/07/2019;5 409;0,31 €
7330;17/07/2019;5 391;0,02 €
7335;05/08/2019;5 983;0,69 €
7346;25/08/2019;15 304;0,61 €
7356;08/09/2019;9 619;0,26 €
7395;18/09/2019;38 629;0,01 €
7408;29/09/2019;6 826;0,28 €
7494;17/10/2019;8 539;0,14 €
7503;29/10/2019;6 126;0,15 €
7505;16/11/2019;29 746;0,12 €
7519;26/11/2019;35 199;0,36 €
7536;15/12/2019;37 187;0,35 €
